Org,Project,URL,Published,Tags,Section,Subject,Authors,Org Type,Tools Used,Backstory,Notes
The New York Times,A Clash of Aesthetic Styles,http://www.nytimes.com/interactive/2008/02/14/arts/design/20080214_LACMA_GRAPHIC.html,2/14/2008,,Arts,,"Graham Roberts, Mika Gröndahl, Haeyoun Park",national,,,
The New York Times,A Close Look at Power Failures in the New York Region,http://www.nytimes.com/interactive/2012/10/30/nyregion/new-york-power-outages.html?ref=multimedia,10/30/2012,"interactive map, graphic",NY/Metro,Hurricane Sandy,,national,,,
The New York Times,A Closer Look at ‘The Wine of St. Martin’s Day’,http://www.nytimes.com/interactive/2010/12/13/arts/design/abroad-the-wine-of-the-feast-of-st-martins-day.html,12/13/2010,,Arts,,,national,,,
The New York Times,A Closer Look at a Centuries-Old Text,http://www.nytimes.com/interactive/2013/11/16/nyregion/bay-psalm-book.html,11/15/2013,interactive feature,NY/Metro,,Eba Hamid,national,,,
The New York Times,A Closer Look at Fashion Week’s Front Row,http://www.nytimes.com/packages/html/style/20130213-front-row/front-row-kors-zoomer-2013.html,2/13/2013,"interactive feature, photo gallery",Fashion & Style,,"Alicia Desantis, Jon Huang, Sylvia Rupani-Smith, Rory Walsh",national,,,
The New York Times,A Closer Look at the Destruction in Haiti,http://www.nytimes.com/interactive/2010/01/13/world/20100113-haiti-close-ups.html,1/17/2010,,International,,,national,,,
The New York Times,A Closer Look at the Inaugural Ceremony,http://www.nytimes.com/packages/html/politics/20130121-inauguration/obama-inauguration-zoomer-2013.html,1/21/2013,interactive feature,Politics,Inauguration - 2012,"Jon Huang, Josh Keller, Doug Mills, Alicia Parlapiano, Paul Volpe",national,,,
The New York Times,A Closer Look at the Inaugural Ceremony,http://www.nytimes.com/interactive/2009/01/20/us/politics/2009-inauguration-zoom-photo.html,1/20/2009,,Politics,,"Matt Ericson, Farhana Hossain, Tom Jackson, Robert Pear, Derek Willis",national,,,
The New York Times,A Compilation of ESPN ‘SportsCenter’ Clichés,http://www.nytimes.com/interactive/2012/02/04/sports/football/a-compilation-of-sportscenter-cliches.html,,,Sports,,"Ritchie S. King, Kevin Quealy",national,,,
The New York Times,A Cone to Remember,http://www.nytimes.com/interactive/2014/07/02/dining/a-cone-to-remember.html,7/1/2014,"interactive feature, crowd source",Dining,,"Tiff Fehr, Chase Davis, Troy Griggs",national,,,
The New York Times,A Context for Terror: Patricia Cohen leads an online discussion with experts about the museum,http://www.nytimes.com/interactive/2012/06/04/arts/design/museum-panel.html?src=dayp,6/4/2012,,Arts,,Jon Huang,national,,,
The New York Times,A Cul-de-Sac of Closures,http://www.nytimes.com/interactive/2009/08/21/us/200908-beth-court.html,8/21/2009,,National,,"Catrin Einhorn, Gabriel Dance, Haeyoun Park",national,,,
The New York Times,A Culture of Bidding: Forging an Art Market in China,http://www.nytimes.com/projects/2013/china-art-fraud/,10/28/2013,"interactive presentation, video graphic, interactive graphic",Arts,,"Larry Buchanan, Joe Burgess, Amanda Cox, Jon Huang, Jacky Myint, Jeremy White",national,,,
