Org,Project,URL,Published,Tags,Section,Subject,Authors,Org Type,Tools Used,Backstory,Notes
Al Jazeera,Life on Hold: The struggle of Syrian refugees in Lebanon.,http://lifeonhold.aljazeera.com/,2015,"interactive feature, slide show, audio, video, crowd source, static map, interactive graphic, time series",,,"Ghassan Fayad, Ralph Dfouni, Kevin Lo, Lokidesign, Colas Wohlfahrt,Elise Zamia, Alex Boisselle, Jérôme Leveneur, Drew Taylor, Valérie Lefrançois, Christelle Franca, David Drury, Paul Madillo, Marie Bernachez",international,,,
Al Jazeera America,Paris attacks muddle EU response to refugee crisis,http://america.aljazeera.com/articles/2015/11/16/paris-attacks-muddle-eu-response-to-refugee-crisis.html,11/16/2015,interactive map,,,,international,CartoDB,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
The Australian Financial Review,Federal politicians on Social Media,http://www.afr.com/p/national/interactive_federal_politicians_vpy0eSBbivxOUKCZHOX8GI,12/15/2012,"interactive graphic, database",,,Edmund Tadros,international,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
BBC,Budget calculator: How will the Budget 2012 affect you?,http://www.bbc.co.uk/news/business-17442946,,,,,,international,,,
BBC,Every death on every road in Great Britain 1999-2010,http://www.bbc.co.uk/news/uk-15975720,,,,,,international,,,
BBC,Japan disaster: before and after,http://www.bbc.co.uk/news/world-asia-pacific-12731781,,,,,,international,,,
BBC,Japan earthquake: video reports,http://www.bbc.co.uk/news/world-asia-pacific-12716870,,,,,,international,,,
BBC,Phone-hacking scandal: Who's linked to who?,http://www.bbc.co.uk/news/uk-14846456,,,,,,international,,,
BBC,Student finance calculator,http://www.bbc.co.uk/news/education-14785676,,,,,,international,,,
BBC,Where are you on the global pay scale?,http://www.bbc.co.uk/news/magazine-17543356,,,,,,international,,,
BBC,The Great British class calculator,http://www.bbc.co.uk/news/magazine-22000973,4/3/2013,"interactive feature, interactive graphic, game",,,"Steven Atherton, Kathy Neal, Harjit Kaura, Christine Jeavans, Applied Works",international,,,
BBC,2013: A year in graphics,http://www.bbc.co.uk/news/world-25419166,2013,interactive feature,,,,international,,,
BBC,Space Race,http://www.bbc.co.uk/bbc.com/future/bespoke/20140304-how-big-is-space-interactive/index.html,3/4/2014,interactive feature,,,iibstudio,international,,,
BBC,Scotland Decides: Results,http://www.bbc.com/news/events/scotland-decides/results,2014,"interactive graphic, live coverage, interactive map",,,,international,,,
BBC,The chance events that led to human existence,http://www.bbc.co.uk/timelines/z9hwjxs,2014,timeline,,,,international,,,
BBC,Your life on earth,http://www.bbc.com/earth/story/20141016-your-life-on-earth,2014,interactive feature,,,,international,,,
BBC,How world’s worst Ebola outbreak began with one boy’s death,http://www.bbc.com/news/world-africa-30199004,11/26/2014,"interactive presentation, video, video graphic, static graphic, static map",,,Nassos Stylianou,international,,,
BBC,How long would it take you to earn a top footballer’s salary?,http://www.bbc.co.uk/news/world-31110113,2/4/2015,interactive feature,,,"Nassos Stylianou, Nathan Mercer, James Offer, Laura Cantadori, Aidan Fewster",international,,,
BBC,Syrian Journey: Choose your own route,http://www.bbc.co.uk/news/world-middle-east-32057601,3/31/2015,interactive feature,,,"Gerry Fletcher, Charlotte Thornton, Marcelo Zanni, Dominic Bailey",international,,,
BBC,Syrian Journey: What would you take with you?,http://www.bbc.co.uk/news/world-middle-east-31987373,3/31/2015,interactive feature,,,,international,,,
BBC,Syria: Mapping the conflict,http://www.bbc.co.uk/news/world-middle-east-22798391,3/12/2015,"interactive map, static map",,,,international,,,
BBC,Syria's refugee exodus,http://www.bbc.co.uk/news/world-middle-east-24900116,5/29/2014,"interactive graphic, timeline, interactive map, static map",,,"Lucy Rodgers, Gerry Fletcher, Steven Connor, Tom Maslen",international,,,
BBC,Election 2015: Mapping constituency opinion polls,http://www.bbc.co.uk/news/election-2015-31712045,4/10/2015,interactive map,,,"Laura Cantadori, James Offer, Mark Gerrard",international,,,
