Org,Project,URL,Published,Tags,Section,Subject,Authors,Org Type,Tools Used,Backstory,Notes
ABC News,Japan Earthquake: before and after,http://www.abc.net.au/news/specials/japan-quake-2011/,,,,,Andrew Kesper,national,,,
ABC News,Pluto comes into focus,http://www.abc.net.au/news/2015-07-09/pluto-comes-into-focus/6566818,7/9/2015,"interactive presentation, timeline, video",,,"Ben Spraggon, Ash Kyd, Colin Gourlay",national,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Arizona Daily Star,"Liens and foreclosures, broken down by company",http://azstarnet.com/app/maps/foreclosures/,,interactive map,,,,national,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Arizona Central,Yarnell Hill Fire: Remembering the fallen firefighters,http://www.azcentral.com/news/free/20130701yarnell-hill-fire-firefighters-names.html,7/2/2013,interactive feature,,,,national,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ProPublica,Torture Memos vs. Red Cross Report: Prisoners’ Recollections Differ from Guidelines,http://www.propublica.org/special/torture-memos-vs.-red-cross-report-prisoners-recollections-differ-0424,4/24/2009,,,,Olga Pierce,national,,,
ProPublica,Inaugural Address Quiz,http://www.propublica.org/special/speech-quiz,1/19/2009,game,,,Jennifer LaFleur and Dan Nguyen,national,,,
ProPublica,Eye on The Bailout | Show Me the TARP Money,http://projects.propublica.org/bailout/main/map/index,,,,,,national,,,
ProPublica,Lessons From ‘Hard Lessons’: Excerpts From the Iraq Reconstruction Report,http://www.propublica.org/special/iraq-hard-lessons-excerpts,12/13/2008,,,,T. Christian Miller and Daniel Nguyen,national,,,
ProPublica,The World Wide Web of Siemens’s Corruption,http://www.propublica.org/special/the-world-wide-web-of-siemenss-corruption,,interactive map,,,,national,,,
ProPublica,"Map: The Growth of Psychiatric Solutions, Inc.",http://www.propublica.org/special/map-the-growth-of-psychiatric-solutions-inc,,interactive map,,,Dan Nguyen,national,,,currently not working
ProPublica,Degrees of Hank Paulson,http://www.propublica.org/special/degrees-of-hank-paulson,10/10/2008,interactive graphic,,,"Jennifer LaFleur, Dan Nguyen and Lisa Schwartz",national,,,
ProPublica,Map: Problems at PSI Facilities,http://www.propublica.org/special/map-problems-at-psi-facilities,,interactive map,,,"Dan Nguyen, Christina Jewett and Robin Fields",national,flash,,
ProPublica,Map: Palin Admin. Oversaw $26 Million ROAD to ‘Nowhere’,http://www.propublica.org/special/map-palin-admin-oversaw-26-million-road-to-nowhere-09171,9/17/2008,interactive map,,,Dan Nguyen and Paul Kiel,national,,,
ProPublica,Senator Joe Biden’s VP Nomination Speech - A Visual Annotation,http://www.propublica.org/special/senator-joe-bidens-vp-nomination-speech-a-visual-annotation-1002,,,,,"Dan Nguyen, Allison Battey, Jesse Nankin, Paul Kiel, Eric Umansky, Kristin Jones",national,,,
